estado,id_tienda,ciudad,codigo_postal,direccion,latitud,longitud,no_tienda,nombre
AGU,1,Aguascalientes,20280,"Blvd J Ma. Chavez No 1919,  San Pedro",21.84,-102.29,25944-239829,City Express Aguascalientes
AGU,2,Aguascalientes,20130,"Av. Universidad No. 2229-A, Col. San José del Arenal",21.91,-102.31,17065-178804,Plaza Las Palmas
AGU,3,Aguascalientes,,2 Rancho Las Trojes de Alonso,21.92,-102.29,32131-114607,Altaria
AGU,4,Aguascalientes,20234,Blvd. Jose Maria Chavez No. 1531,21.86,-102.29,32750-137046,Asuncion
AGU,5,Aguascalientes,20115,"101 Prolongacion Ignacio Zaragoza, Fraccionamiento Valle de las Trojes",21.92,-102.3,32110-119599,Colosio
BCN,6,Ensenada,22832,"Pedro Loyola No 612 Locales A-02, 03, 04, Col. Carlos Pacheco",31.84,-116.6,16701-173887,Macroplaza Ensenada
BCN,7,Ensenada,22800,678 Boulevard Costero Lazaro Cardenas,31.86,-116.63,38265-114605,Ensenada Malecon
BCN,8,Mexicali,21259,Calzada Manuel Gomez Morin 799,32.65,-115.41,32418-132854,Lienzo
BCN,9,Mexicali,21090,"Blvd. Lazaro Cardenas n.1801, Zona Industrial",32.62,-115.46,21909-216025,Mexicali Plaza del Valle
BCN,10,Mexicali,44556,"Calz. Lopez Mateos esq. Calle Alfarero, Lote s/n Seccion A Porcion Sur Manzana 7",32.62,-115.51,16196-166687,Mexicali Centinela
BCN,11,Mexicali,21259,"Prolongacion Lazaro Cardenas, Carretera a Tijuana, Local 51",32.62,-115.51,32645-136562,Galerias del Valle
BCN,12,Mexicali,21330,"Benito Juarez Boulevard y Lazario, Cardenas sin, Fracc. Residencias",32.63,-115.44,32108-119584,Plaza Centenario
BCN,13,Tijuana,22420,"Lote 0001 Mza F Blvd Agua Caliente 10387, Chapultepec, Carretera Aeropuerto",32.51,-117.01,21191-209751,Paseo Chapultepec Tijuana
